protocol,tcp_bytes,Quic-bytes,real_time,
17,,1358,18.819474,
17,,1358,18.857777,
17,,170,18.887401,
17,,38,18.889367,
17,,1358,18.895016,
17,,1358,18.933408,
17,,1358,18.970684,
17,,1358,19.008723,
6,1460,,19.029325,
17,,1358,19.046329,
17,,1358,19.084222,
6,56,,19.115135,
17,,1358,19.121795,
17,,1358,19.159396,
6,0,,19.160294,
6,0,,19.167673,
6,56,,19.177794,
6,1430,,19.186197,
6,1430,,19.186214,
6,1430,,19.190275,
6,1430,,19.19039,
17,,1358,19.197994,
6,1430,,19.19845,
6,1430,,19.198565,
6,1322,,19.206612,
6,1430,,19.210412,
6,1430,,19.210421,
6,1430,,19.218579,
6,1430,,19.218603,
6,1430,,19.226747,
6,1430,,19.226864,
6,1430,,19.2349,
6,1430,,19.235024,
17,,1358,19.23574,
6,1430,,19.243115,
6,1430,,19.243128,
6,1430,,19.251292,
6,1430,,19.251301,
6,1430,,19.259467,
6,1430,,19.259475,
6,1430,,19.267641,
6,1430,,19.271718,
6,1430,,19.271851,
6,1430,,19.279897,
6,1430,,19.280012,
6,1430,,19.288073,
6,1430,,19.288203,
6,1430,,19.296224,
6,1430,,19.296272,
6,1430,,19.304426,
6,1430,,19.304443,
6,1430,,19.3126,
6,1430,,19.31273,
6,1430,,19.320775,
6,1430,,19.320906,
6,1430,,19.328952,
6,1430,,19.333048,
6,1430,,19.333158,
6,0,,19.43502,
6,0,,19.435029,
6,0,,19.452507,
6,0,,19.452518,
6,0,,19.452521,
6,354,,19.452525,
6,0,,19.452534,
6,0,,19.454625,
6,0,,19.45463,
6,1430,,19.460892,
6,1430,,19.46102,
6,1430,,19.478376,
6,1430,,19.478493,
6,1430,,19.482443,
6,0,,19.498951,
6,964,,19.600585,
6,482,,19.600602,
6,39,,19.600603,
6,0,,19.696066,
6,26,,19.801083,
6,918,,19.851164,
6,0,,19.864281,
6,26,,20.654866,
6,129,,20.934395,
6,73,,21.100945,
6,0,,21.164748,
6,0,,21.164757,
6,64,,21.16476,
6,92,,21.164763,
6,517,,21.164768,
6,517,,21.164776,
6,0,,21.165768,
6,0,,21.205639,
6,0,,21.208498,
6,0,,21.208507,
6,608,,21.208924,
6,31,,21.208933,
6,0,,21.217648,
6,517,,21.368352,
6,0,,21.368361,
6,0,,21.368364,
17,,469,21.368367,
17,,1358,21.368776,
6,0,,21.369416,
17,,40,21.370431,
6,73,,21.372184,
6,0,,21.372937,
6,1460,,21.374102,
6,589,,21.374111,
6,1430,,21.414427,
6,1430,,21.414447,
6,1430,,21.414668,
6,0,,21.483806,
6,50,,21.563218,
6,73,,21.645328,
6,129,,21.730149,
6,0,,21.744557,
6,0,,21.748006,
6,1430,,21.78283,
6,24,,21.787493,
6,0,,21.788061,
6,24,,21.815213,
6,0,,21.815344,
6,0,,21.817023,
6,0,,21.817029,
6,64,,21.817032,
6,0,,21.861423,
6,608,,21.861841,
6,0,,22.018471,
17,,41,22.018482,
17,,41,22.018485,
17,,41,22.018488,
17,,1358,22.020752,
6,0,,22.02366,
17,,45,22.023665,
6,1460,,22.02486,
6,589,,22.024868,
17,,38,22.05084,
6,1430,,22.05958,
6,1430,,22.05959,
6,1430,,22.059809,
6,344,,22.059818,
6,4,,22.098978,
17,,42,22.135451,
17,,1358,22.137717,
6,0,,22.149822,
17,,1358,22.176223,
6,0,,22.202681,
6,73,,22.221636,
6,0,,22.276162,
1,6,,,22.496703
6,0,,22.499638,
6,0,,22.500046,
17,,42,22.521946,
6,544,,22.52196,
17,,1358,22.524203,
6,648,,22.547759,
6,1430,,22.547896,
6,1430,,22.547995,
6,1430,,22.548155,
17,,1358,22.562695,
17,,42,22.564176,
6,1430,,22.596664,
17,,42,22.599376,
17,,1358,22.601619,
6,24,,22.619967,
17,,42,22.626597,
6,129,,22.630914,
17,,1358,22.640005,
6,1430,,22.645444,
17,,1358,22.678343,
6,24,,22.682645,
6,1430,,22.694202,
17,,1358,22.715777,
17,,42,22.734215,
6,1430,,22.742981,
17,,1358,22.753634,
17,,42,22.768437,
6,1430,,22.79174,
17,,1358,22.791756,
17,,1358,22.829491,
6,1430,,22.840501,
17,,42,22.842262,
17,,1358,22.867729,
6,1430,,22.889274,
17,,1358,22.906282,
6,1334,,22.938021,
17,,1358,22.943653,
17,,42,22.947205,
17,,1358,22.980733,
17,,1358,23.019006,
17,,42,23.050325,
17,,1358,23.056637,
17,,1358,23.094112,
17,,1358,23.13245,
17,,1358,23.170838,
6,73,,23.309742,
6,0,,23.36492,
17,,41,23.380836,
17,,1358,23.383164,
6,0,,23.413036,
6,0,,23.413896,
6,75,,23.414386,
17,,1358,23.421563,
17,,1358,23.460132,
17,,1358,23.497536,
17,,42,23.562388,
17,,1358,23.564631,
6,24,,23.569887,
17,,41,23.588013,
17,,1358,23.603319,
17,,1358,23.641553,
17,,1358,23.679073,
6,24,,23.692769,
17,,1358,23.717531,
17,,1358,23.75493,
17,,41,24.113595,
6,354,,24.113607,
6,64,,24.113611,
17,,1358,24.115842,
6,0,,24.151537,
17,,1358,24.15428,
6,0,,24.154803,
6,0,,24.157988,
17,,42,24.189821,
17,,1358,24.192092,
6,345,,24.197367,
17,,42,24.227661,
17,,1358,24.229908,
